"Step","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MIN","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MAX"
"13202688","0","0","0"
"13203968","1","1","1"
"13210752","0","0","0"
"13213056","0","0","0"
"13213184","0","0","0"
"13216256","0","0","0"
"13216384","0.5","0.5","0.5"
"13220736","1","1","1"
"13220864","0","0","0"
"13287808","0","0","0"
"13379072","0.5","0.5","0.5"
"13385472","0","0","0"
"13391744","0","0","0"
"13395712","0","0","0"
"13465984","1","1","1"
"13466240","0.5","0.5","0.5"
"13469696","0","0","0"
"13471488","0","0","0"
"13475072","0","0","0"
"13478016","0","0","0"
"13545600","0","0","0"
"13548800","0","0","0"
"13555328","0","0","0"
"13558912","2","2","2"
"13559424","1","1","1"
"13568128","0","0","0"
"13569024","0","0","0"
"13642752","2","2","2"
"13645312","0","0","0"
"13647360","0","0","0"
"13657984","2","2","2"
"13727104","0","0","0"
"13743104","1","1","1"
"13814016","0","0","0"
"13816960","0","0","0"
"13824640","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"13825024","0","0","0"
"13826304","0","0","0"
"13829504","0","0","0"
"13831040","0","0","0"
"13916160","0","0","0"
"13919232","0","0","0"
"13984512","0","0","0"
"13995008","0","0","0"
"13997440","0","0","0"
"14004736","0.5","0.5","0.5"
"14008960","1","1","1"
"14080000","0","0","0"
"14083072","0.5","0.5","0.5"
"14084224","0","0","0"
"14087936","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"14089216","0","0","0"
"14089600","0","0","0"
"14091648","0","0","0"
"14093568","0","0","0"
"14158720","1","1","1"
"14172800","0","0","0"
"14173696","0","0","0"
"14184448","0","0","0"
"14251648","0","0","0"
"14254720","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"14254848","0","0","0"
"14260096","0","0","0"
"14262144","0","0","0"
"14267776","0","0","0"
"14268416","1.5","1.5","1.5"
"14334464","0","0","0"
"14336256","0","0","0"
"14340096","0","0","0"
"14343936","0.5","0.5","0.5"
"14346240","0","0","0"
"14347392","1","1","1"
"14347776","1","1","1"
"14348672","1","1","1"
"14349824","0","0","0"
"14421760","1","1","1"
"14432512","0","0","0"
"14434432","0","0","0"
"14437376","0","0","0"
"14439552","0","0","0"
"14507520","0","0","0"
"14509440","0","0","0"
"14519168","0","0","0"
"14521088","0","0","0"
"14525696","0","0","0"
"14528768","1","1","1"
"14529920","0","0","0"
"14588160","0","0","0"
"14597248","0","0","0"
"14597376","1","1","1"
"14601728","1","1","1"
"14605312","0","0","0"
"14606848","0","0","0"
"14608000","0","0","0"
"14614016","0","0","0"
"14615424","0","0","0"
"14673792","0","0","0"
"14690432","0","0","0"
"14697472","0","0","0"
"14760192","1","1","1"
"14769408","0.5","0.5","0.5"
"14776448","0","0","0"
"14780544","0","0","0"
"14781952","0","0","0"
"14783488","1","1","1"
"14787584","0","0","0"
"14857216","0","0","0"
"14865920","0","0","0"
"14875392","0","0","0"
"14944768","0","0","0"
"14947072","1","1","1"
"14956928","0","0","0"
"14961024","1","1","1"
"15029504","0","0","0"
"15031296","0","0","0"
"15033856","0","0","0"
"15036544","0","0","0"
"15039488","1","1","1"
"15040000","0","0","0"
"15043840","0.25","0.25","0.25"
"15043968","0","0","0"
"15044352","0","0","0"
"15052288","0","0","0"
"15053440","1","1","1"
"15122816","0","0","0"
"15126656","0","0","0"
"15128832","0.5","0.5","0.5"
"15130496","1","1","1"
"15133312","0","0","0"
"15134848","0","0","0"
"15209088","0","0","0"
"15213568","0","0","0"
"15215360","0","0","0"
"15216512","0","0","0"
"15217920","0","0","0"
"15223296","0","0","0"
"15282176","0","0","0"
"15285376","0","0","0"
"15293312","0.5","0.5","0.5"
"15293440","0.5","0.5","0.5"
"15299840","0","0","0"
"15383296","1","1","1"
"15383552","0","0","0"
"15383936","0","0","0"
"15389824","0","0","0"
"15402752","1","1","1"
"15464064","0","0","0"
"15470976","0","0","0"
"15472640","0","0","0"
"15479296","0","0","0"
"15481088","0","0","0"
"15486336","1","1","1"
"15489792","0","0","0"
"15542400","0","0","0"
"15553024","0","0","0"
"15556224","0","0","0"
"15558016","0","0","0"
"15563648","1","1","1"
"15564672","0","0","0"
"15564800","0","0","0"
"15565568","0","0","0"
"15567872","0","0","0"
"15638272","1","1","1"
"15641472","0","0","0"
"15644416","0","0","0"
"15645056","0","0","0"
"15645184","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"15647232","0","0","0"
"15729920","0","0","0"
"15734784","0","0","0"
"15737984","0","0","0"
"15821440","0","0","0"
"15826688","0","0","0"
"15827840","0","0","0"
"15829248","0","0","0"
"15902720","0","0","0"
"15907200","0","0","0"
"15908864","0","0","0"
"15910144","0","0","0"
"15911936","1","1","1"
"15912192","0","0","0"
"15920256","0","0","0"
"15989760","0","0","0"
"15990144","0","0","0"
"15994240","1","1","1"
"16004608","1","1","1"
"16005888","1","1","1"
"16079488","0","0","0"
"16079872","0","0","0"
"16080768","0","0","0"
"16086400","0","0","0"
"16086912","0","0","0"
"16092928","1","1","1"
"16163456","1","1","1"
"16163712","0","0","0"
"16163840","0","0","0"
"16163968","0","0","0"
"16168320","0","0","0"
"16168960","0.5","0.5","0.5"
"16173696","1","1","1"
"16175360","1","1","1"
"16175488","0","0","0"
"16186240","0","0","0"
"16253824","2","2","2"
"16254976","0","0","0"
"16256640","0","0","0"
"16258944","0","0","0"
"16260864","0","0","0"
"16267136","1","1","1"
"16324864","0","0","0"
"16326528","0","0","0"
"16340736","1","1","1"
"16346624","0","0","0"
"16426496","1.5","1.5","1.5"
"16430720","0","0","0"
"16431488","0","0","0"
"16436480","1","1","1"
"16516480","0","0","0"
"16520576","0","0","0"
"16522880","0","0","0"
"16524800","0","0","0"
"16525568","0","0","0"
"16603136","0","0","0"
"16603520","1","1","1"
"16606592","0","0","0"
"16683648","0","0","0"
"16684288","1","1","1"
"16687232","0","0","0"
"16690432","0","0","0"
"16694784","0","0","0"
"16695808","0.5","0.5","0.5"
"16699136","0","0","0"
"16700160","0","0","0"
"16701184","2","2","2"
"16701568","0","0","0"
"16702336","1","1","1"
"16764544","0","0","0"
"16770816","1","1","1"
"16772480","0","0","0"
"16775808","0.25","0.25","0.25"
"16777856","0","0","0"
"16779520","0","0","0"
"16779648","0.5","0.5","0.5"
"16782592","0","0","0"
"16783360","0","0","0"
"16785280","0","0","0"
"16786688","0","0","0"
"16790656","0","0","0"
"16792832","0","0","0"
