"Step","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return__MIN","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return__MAX"
"19475968","0.5","0.5","0.5"
"19476096","0","0","0"
"19480320","0","0","0"
"19547520","0","0","0"
"19570944","0","0","0"
"19651200","0","0","0"
"19664896","0","0","0"
"19727104","0","0","0"
"19734656","0","0","0"
"19738112","0","0","0"
"19739392","0","0","0"
"19743744","0","0","0"
"19751936","0","0","0"
"19756928","0","0","0"
"19812736","0","0","0"
"19814528","0","0","0"
"19814656","0","0","0"
"19824384","0","0","0"
"19826944","0","0","0"
"19827072","0","0","0"
"19827584","0","0","0"
"19828096","0","0","0"
"19898368","0","0","0"
"19898880","0","0","0"
"19899648","0","0","0"
"19902592","0","0","0"
"19907328","0","0","0"
"19907968","0","0","0"
"19912064","0","0","0"
"19920256","0","0","0"
"19924480","0","0","0"
"19987712","0","0","0"
"19999104","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"20000640","0","0","0"
"20002816","0","0","0"
"20009856","0","0","0"
"20076032","0","0","0"
"20076800","0","0","0"
"20090496","0","0","0"
"20091520","0","0","0"
"20155904","0","0","0"
"20162688","0","0","0"
"20162816","0","0","0"
"20165376","0","0","0"
"20172800","0","0","0"
"20176000","0","0","0"
"20176256","0.5","0.5","0.5"
"20191872","0","0","0"
"20250368","0","0","0"
"20253952","0","0","0"
"20255616","0","0","0"
"20256768","0","0","0"
"20270976","0","0","0"
"20271616","0","0","0"
"20335232","1","1","1"
"20352384","2","2","2"
"20428288","0","0","0"
"20436096","0","0","0"
"20450304","0","0","0"
"20510464","1","1","1"
"20515072","1","1","1"
"20521984","0","0","0"
"20531712","1","1","1"
"20532224","0","0","0"
"20595456","0","0","0"
"20598784","0","0","0"
"20608768","0","0","0"
"20676992","0","0","0"
"20694272","0","0","0"
"20696832","2","2","2"
"20713344","0","0","0"
"20768384","0","0","0"
"20785280","0","0","0"
"20788096","0","0","0"
"20847616","0","0","0"
"20861824","0","0","0"
"20865024","0","0","0"
"20866048","0","0","0"
"20867968","0","0","0"
"20869248","0","0","0"
"20883712","0","0","0"
"20963328","0","0","0"
"20973056","0","0","0"
"21021696","0","0","0"
"21029248","0","0","0"
"21031936","0","0","0"
"21032576","0","0","0"
"21041408","0","0","0"
"21042944","0","0","0"
"21121792","0","0","0"
"21122688","0","0","0"
"21130624","0","0","0"
"21139456","0","0","0"
"21202304","0","0","0"
"21211264","0","0","0"
"21215744","0","0","0"
"21216384","0","0","0"
"21217408","0","0","0"
"21218816","0","0","0"
"21219712","0","0","0"
"21222656","0","0","0"
"21223808","0","0","0"
"21224320","0","0","0"
"21290112","0","0","0"
"21290880","0","0","0"
"21291264","0","0","0"
"21292160","0","0","0"
"21295872","0","0","0"
"21298176","0","0","0"
"21305728","0","0","0"
"21309568","0","0","0"
"21322368","0","0","0"
"21373440","0","0","0"
"21381888","0","0","0"
"21382784","0","0","0"
"21383424","0","0","0"
"21393280","0","0","0"
"21397632","0","0","0"
"21400832","0","0","0"
"21478784","0","0","0"
"21551232","0","0","0"
"21553280","0","0","0"
"21566464","0","0","0"
"21576576","0","0","0"
"21577600","0","0","0"
"21579904","0","0","0"
"21636608","0","0","0"
"21640064","0","0","0"
"21643904","0","0","0"
"21651584","0","0","0"
"21728512","0","0","0"
"21733248","0","0","0"
"21737472","0","0","0"
"21739520","0","0","0"
"21812352","1","1","1"
"21819264","1","1","1"
"21831808","0","0","0"
"21840384","2","2","2"
"21912960","2","2","2"
"21917824","2","2","2"
"21929088","3","3","3"
"21929984","1","1","1"
"21992320","2","2","2"
"21997184","0","0","0"
"22004992","2","2","2"
"22082688","2","2","2"
"22085120","3","3","3"
"22085632","1","1","1"
"22102912","0","0","0"
"22156800","0","0","0"
"22168064","2","2","2"
"22168576","0","0","0"
"22170752","0","0","0"
"22171904","2","2","2"
