"Step","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MIN","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MAX"
"12831104","297.5","297.5","297.5"
"12873472","370","370","370"
"12878592","570","570","570"
"12897920","840","840","840"
"12915200","440","440","440"
"12939008","740","740","740"
"12954624","290","290","290"
"12955648","650","650","650"
"12992896","230","230","230"
"12996480","420","420","420"
"13009024","320","320","320"
"13099776","480","480","480"
"13111680","290","290","290"
"13115392","230","230","230"
"13165440","220","220","220"
"13172480","330","330","330"
"13195136","696.6666870117188","696.6666870117188","696.6666870117188"
"13235200","660","660","660"
"13243136","350","350","350"
"13273216","650","650","650"
"13296896","470","470","470"
"13315840","230","230","230"
"13355392","440","440","440"
"13373824","460","460","460"
"13374720","220","220","220"
"13385600","520","520","520"
"13394688","290","290","290"
"13406464","280","280","280"
"13435392","310","310","310"
"13446528","490","490","490"
"13501568","1210","1210","1210"
"13501696","285","285","285"
"13531264","370","370","370"
"13546880","275","275","275"
"13572352","340","340","340"
"13582336","570","570","570"
"13588352","230","230","230"
"13588736","580","580","580"
"13604224","190","190","190"
"13615488","290","290","290"
"13674112","270","270","270"
"13684736","240","240","240"
"13709824","365","365","365"
"13715584","330","330","330"
"13726592","650","650","650"
"13811840","380","380","380"
"13829120","500","500","500"
"13853440","260","260","260"
"13855744","270","270","270"
"13879168","450","450","450"
"13908608","980","980","980"
"13935488","240","240","240"
"13949056","275","275","275"
"13950464","380","380","380"
"14030976","240","240","240"
"14040064","815","815","815"
"14082176","320","320","320"
"14101376","720","720","720"
"14144896","820","820","820"
"14181504","520","520","520"
"14202880","370","370","370"
"14223232","280","280","280"
"14232704","200","200","200"
"14243968","475","475","475"
"14318976","557.5","557.5","557.5"
"14325120","520","520","520"
"14335616","370","370","370"
"14380416","715","715","715"
"14384384","330","330","330"
"14397184","335","335","335"
"14407936","300","300","300"
"14411904","700","700","700"
"14417024","390","390","390"
"14466304","470","470","470"
"14471552","380","380","380"
"14483200","380","380","380"
"14496512","495","495","495"
"14506112","430","430","430"
"14510208","460","460","460"
"14515968","470","470","470"
"14533632","370","370","370"
"14539264","420","420","420"
"14558592","320","320","320"
"14561152","420","420","420"
"14586368","240","240","240"
"14628480","240","240","240"
"14635264","940","940","940"
"14655360","420","420","420"
"14677120","210","210","210"
"14695296","920","920","920"
"14697216","270","270","270"
"14697472","300","300","300"
"14706432","240","240","240"
"14710784","550","550","550"
"14712576","730","730","730"
"14729728","270","270","270"
"14755840","426.6666564941406","426.6666564941406","426.6666564941406"
"14800256","440","440","440"
"14809088","430","430","430"
"14816768","305","305","305"
"14822144","310","310","310"
"14844032","460","460","460"
"14844416","350","350","350"
"14864512","423.3333435058594","423.3333435058594","423.3333435058594"
"14870784","323.3333435058594","323.3333435058594","323.3333435058594"
"14882560","670","670","670"
"14920320","380","380","380"
"14943104","730","730","730"
"14980352","280","280","280"
"15011840","435","435","435"
"15034624","680","680","680"
"15042176","120","120","120"
"15050624","310","310","310"
"15059968","510","510","510"
"15065088","260","260","260"
"15072512","330","330","330"
"15098880","330","330","330"
"15109632","605","605","605"
"15124992","290","290","290"
"15126784","240","240","240"
"15202432","710","710","710"
"15207680","380","380","380"
"15244928","320","320","320"
"15280000","410","410","410"
"15310336","590","590","590"
"15336064","490","490","490"
"15354880","340","340","340"
"15427584","330","330","330"
"15447168","420","420","420"
"15466368","220","220","220"
"15469568","390","390","390"
"15476352","420","420","420"
"15488640","480","480","480"
"15499008","420","420","420"
"15501824","710","710","710"
"15508608","350","350","350"
"15548288","490","490","490"
"15611264","380","380","380"
"15643776","430","430","430"
"15651712","656.6666870117188","656.6666870117188","656.6666870117188"
"15655552","540","540","540"
"15660672","325","325","325"
"15669376","640","640","640"
"15669760","305","305","305"
"15726208","670","670","670"
"15787648","380","380","380"
"15790848","375","375","375"
"15793408","310","310","310"
"15883264","300","300","300"
"15883904","940","940","940"
"15912832","330","330","330"
"15928960","610","610","610"
"15934976","310","310","310"
"15937536","760","760","760"
"15954432","680","680","680"
"15968512","440","440","440"
"15978112","1210","1210","1210"
"15982080","485","485","485"
"15987584","270","270","270"
"16024448","405","405","405"
"16114688","316.6666564941406","316.6666564941406","316.6666564941406"
"16173312","330","330","330"
"16214400","440","440","440"
"16230016","310","310","310"
"16245376","380","380","380"
"16254464","530","530","530"
"16267904","360","360","360"
"16271104","465","465","465"
"16343296","240","240","240"
"16369792","420","420","420"
"16393472","363.3333435058594","363.3333435058594","363.3333435058594"
"16447232","350","350","350"
"16457856","380","380","380"
"16465024","440","440","440"
"16477440","635","635","635"
"16485504","365","365","365"
"16503168","320","320","320"
"16524928","260","260","260"
"16540032","400","400","400"
"16540544","820","820","820"
"16546304","230","230","230"
"16549376","280","280","280"
"16562816","770","770","770"
"16631808","200","200","200"
"16635392","430","430","430"
"16660736","330","330","330"
"16670720","340","340","340"
"16680448","360","360","360"
"16681856","285","285","285"
"16741632","260","260","260"
"16766592","340","340","340"
"16772224","350","350","350"
"16796672","270","270","270"
"16797568","375","375","375"
"16820992","460","460","460"
"16840832","750","750","750"
"16906368","315","315","315"
"16921344","300","300","300"
"16934656","190","190","190"
"16944000","250","250","250"
"16951680","645","645","645"
"16985984","630","630","630"
"17002624","690","690","690"
"17013120","375","375","375"
"17049216","320","320","320"
"17049600","380","380","380"
"17064704","630","630","630"
"17096576","1220","1220","1220"
"17117952","350","350","350"
"17137664","380","380","380"
"17146240","640","640","640"
"17155840","750","750","750"
"17159296","280","280","280"
"17188736","490","490","490"
"17249408","370","370","370"
"17289984","340","340","340"
"17319296","350","350","350"
"17325056","240","240","240"
"17327488","440","440","440"
"17369856","580","580","580"
"17377152","320","320","320"
"17377280","530","530","530"
"17408896","320","320","320"
"17428992","505","505","505"
"17436160","770","770","770"
"17437696","310","310","310"
"17466624","290","290","290"
"17481984","400","400","400"
"17633152","680","680","680"
"17659136","330","330","330"
"17675008","350","350","350"
"17701120","485","485","485"
"17708928","450","450","450"
"17736832","355","355","355"
"17747712","350","350","350"
"17755520","526.6666870117188","526.6666870117188","526.6666870117188"
"17770112","310","310","310"
"17817728","320","320","320"
"17856000","640","640","640"
"17859072","530","530","530"
"17869696","260","260","260"
"17911552","360","360","360"
"17916672","450","450","450"
"17920768","920","920","920"
"17958016","420","420","420"
"17967360","1000","1000","1000"
"17968512","590","590","590"
"17973120","340","340","340"
"18011776","300","300","300"
"18105088","240","240","240"
"18127744","330","330","330"
"18131584","320","320","320"
"18134912","330","330","330"
"18135424","280","280","280"
"18179712","295","295","295"
"18200192","310","310","310"
"18204032","290","290","290"
"18206208","400","400","400"
"18216448","360","360","360"
"18244224","400","400","400"
"18249472","200","200","200"
"18293248","400","400","400"
"18322688","425","425","425"
"18359808","340","340","340"
"18368640","300","300","300"
"18395136","300","300","300"
"18404992","180","180","180"
"18408832","390","390","390"
"18413824","375","375","375"
"18422528","360","360","360"
"18457216","390","390","390"
"18501504","330","330","330"
"18504704","200","200","200"
"18541312","610","610","610"
"18542080","270","270","270"
"18573184","860","860","860"
"18596096","320","320","320"
"18610560","305","305","305"
"18627328","180","180","180"
"18636544","670","670","670"
"18658688","330","330","330"
"18695040","770","770","770"
"18699904","380","380","380"
"18729344","237.5","237.5","237.5"
"18735360","380","380","380"
"18738560","310","310","310"
"18756480","660","660","660"
"18761856","420","420","420"
"18792832","280","280","280"
"18795648","310","310","310"
"18796416","510","510","510"
"18848384","230","230","230"
"18875520","360","360","360"
"18911360","640","640","640"
"18932992","340","340","340"
"18940160","230","230","230"
"18982656","320","320","320"
"19018624","580","580","580"
"19027456","1120","1120","1120"
"19046784","455","455","455"
"19052032","445","445","445"
"19067136","180","180","180"
"19068032","200","200","200"
"19075200","990","990","990"
"19085696","320","320","320"
"19143936","530","530","530"
"19158400","990","990","990"
"19186816","1140","1140","1140"
"19198336","230","230","230"
"19209088","350","350","350"
"19221760","340","340","340"
"19243520","620","620","620"
"19243648","390","390","390"
"19263488","300","300","300"
"19319040","460","460","460"
"19322752","250","250","250"
"19337088","560","560","560"
"19346944","630","630","630"
"19390208","440","440","440"
"19408384","250","250","250"
"19494144","400","400","400"
"19502720","570","570","570"
"19505280","340","340","340"
"19509888","490","490","490"
"19591424","295","295","295"
"19610240","320","320","320"
"19621504","220","220","220"
"19651584","315","315","315"
"19658624","430","430","430"
"19699584","220","220","220"
"19703168","365","365","365"
"19708288","270","270","270"
"19836288","290","290","290"
"19841024","410","410","410"
"19848832","330","330","330"
"19932416","290","290","290"
"20004864","350","350","350"
"20047744","775","775","775"
"20053504","270","270","270"
"20054400","340","340","340"
"20060416","290","290","290"
"20067200","420","420","420"
"20067968","595","595","595"
"20076544","430","430","430"
"20081536","1120","1120","1120"
"20109952","625","625","625"
"20124416","400","400","400"
"20128128","400","400","400"
"20162560","320","320","320"
"20168448","640","640","640"
"20176768","1220","1220","1220"
"20201984","245","245","245"
"20220288","340","340","340"
"20231808","270","270","270"
"20240640","260","260","260"
"20249472","290","290","290"
"20254336","256.6666564941406","256.6666564941406","256.6666564941406"
"20257536","745","745","745"
"20280832","415","415","415"
"20331264","360","360","360"
"20369792","260","260","260"
"20384640","275","275","275"
"20387584","230","230","230"
"20390528","383.3333435058594","383.3333435058594","383.3333435058594"
"20390784","315","315","315"
"20432256","580","580","580"
"20433664","420","420","420"
"20439936","240","240","240"
"20454656","270","270","270"
"20483072","460","460","460"
"20491008","440","440","440"
"20501504","330","330","330"
"20508160","343.3333435058594","343.3333435058594","343.3333435058594"
"20548096","1280","1280","1280"
"20571776","440","440","440"
"20579584","590","590","590"
"20637184","315","315","315"
"20673280","280","280","280"
"20713856","540","540","540"
"20723584","263.3333435058594","263.3333435058594","263.3333435058594"
"20729472","460","460","460"
"20745984","370","370","370"
"20746112","300","300","300"
"20756608","290","290","290"
"20757120","520","520","520"
"20785408","365","365","365"
"20787584","260","260","260"
"20797952","470","470","470"
"20843904","860","860","860"
"20855168","810","810","810"
"20859008","275","275","275"
"20877056","310","310","310"
"20888832","1360","1360","1360"
"20937088","910","910","910"
