"Step","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MAX","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MAX","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MIN","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MAX"
"260112","7500","7500","7500","","","","","",""
"260864","","","","","","","10500","10500","10500"
"261456","13900","13900","13900","","","","","",""
"261632","","","","7800","7800","7800","","",""
"262144","","","","","","","13600","13600","13600"
"262368","6900","6900","6900","","","","","",""
"263312","13300","13300","13300","","","","","",""
"264560","9600","9600","9600","","","","","",""
"264720","8900","8900","8900","","","","","",""
"264992","5200","5200","5200","","","","","",""
"265728","","","","","","","11400","11400","11400"
"266880","","","","5400","5400","5400","","",""
"267808","12600","12600","12600","","","","","",""
"268160","","","","9250","9250","9250","","",""
"268288","","","","9900","9900","9900","","",""
"268416","","","","8400","8400","8400","","",""
"268624","12700","12700","12700","","","","","",""
"269440","","","","","","","11900","11900","11900"
"270080","","","","7600","7600","7600","","",""
"270176","7400","7400","7400","","","","","",""
"270336","","","","9600","9600","9600","","",""
"270592","","","","8300","8300","8300","","",""
"270720","","","","8900","8900","8900","","",""
"270976","","","","8250","8250","8250","","",""
"272080","10000","10000","10000","","","","","",""
"272384","6600","6600","6600","","","","","",""
"272768","","","","9200","9200","9200","","",""
"272800","3000","3000","3000","","","","","",""
"272864","2600","2600","2600","","","","","",""
"273280","","","","8000","8000","8000","","",""
"273664","","","","6700","6700","6700","","",""
"273776","7600","7600","7600","","","","","",""
"273936","9100","9100","9100","","","","","",""
"274288","4800","4800","4800","","","","","",""
"274816","","","","6800","6800","6800","","",""
"274880","8800","8800","8800","","","","","",""
"275072","","","","5000","5000","5000","","",""
"275200","","","","","","","14600","14600","14600"
"276608","","","","5800","5800","5800","","",""
"276992","","","","4600","4600","4600","","",""
"277248","","","","9600","9600","9600","","",""
"277760","","","","7900","7900","7900","","",""
"278336","8000","8000","8000","","","","","",""
"279680","","","","","","","6000","6000","6000"
"280192","","","","6800","6800","6800","","",""
"280704","","","","5200","5200","5200","","",""
"281472","","","","6300","6300","6300","","",""
"281936","7400","7400","7400","","","","","",""
"282112","","","","","","","13500","13500","13500"
"282496","","","","8200","8200","8200","","",""
"283552","14450","14450","14450","","","","","",""
"283664","9600","9600","9600","","","","","",""
"284000","9100","9100","9100","","","","","",""
"284032","4800","4800","4800","","","","","",""
"284288","","","","8600","8600","8600","","",""
"284672","","","","6300","6300","6300","","",""
